Date,Customer_ID,Product_ID,Quantity,Unit_Price,Sales_Revenue,Product_Description,Product_Category,Product_Line,Raw_Material,Region,Latitude,Longitude
20210601,98,321,1,117.3060162,117.3060162,Cycling Jerseys,Sports,Tops,Fabrics,York,53.958332,-1.080278
20210602,92,261,4,32.27240332,129.0896133,Casual Shirts,Menswear,Tops,Cotton,Worcester,52.192001,-2.22
20210603,92,264,1,36.19336404,36.19336404,Casual Shirts,Menswear,Tops,Cotton,Worcester,52.192001,-2.22
20210604,99,251,3,29.91340346,89.74021037,Jeans,Menswear,Trousers,Cotton,Winchester,51.063202,-1.308
20210605,66,251,1,41.84343048,41.84343048,Shorts,Womenswear,Trousers,Cotton,Winchester,51.063202,-1.308
20210606,97,304,3,49.88752415,149.6625725,Belts,Accessories,Leathers,Leather,Wells,51.209,-2.647
20210607,45,357,2,35.41601593,70.83203185,Ties,Accessories,Tops,Leather,Wakefield,53.68,-1.49
20210608,81,258,1,29.08420533,29.08420533,Polo Shirts,Menswear,Tops,Cotton,Wakefield,53.68,-1.49
20210609,47,260,3,44.49807734,133.494232,Tshirts,Womenswear,Tops,Cotton,Wakefield,53.68,-1.49
20210610,24,263,3,38.49739685,115.4921905,Formal Shirts,Womenswear,Tops,Wool,Winchester,51.063202,-1.308
20210611,10,265,4,27.04895601,108.195824,Formal Shirts,Menswear,Tops,Wool,Wakefield,53.68,-1.49
20210612,45,260,3,28.54089924,85.62269771,Polo Shirts,Menswear,Tops,Cotton,Wakefield,53.68,-1.49
20210613,55,260,1,34.74291321,34.74291321,Formal Shirts,Menswear,Tops,Cotton,York,53.958332,-1.080278
20210614,44,286,3,27.02857115,81.08571344,Knitwear,Womenswear,Tops,Cashmere,Wells,51.209,-2.647
20210615,97,291,1,34.79245255,34.79245255,Knitwear,Menswear,Tops,Cashmere,Wells,51.209,-2.647
20210616,31,265,4,43.871537,175.486148,Suits,Menswear,Tops,Wool,Wakefield,53.68,-1.49
20210617,47,274,1,51.96824385,51.96824385,Sweats,Womenswear,Tops,Polyester,Wakefield,53.68,-1.49
20210618,47,276,4,33.93177484,135.7270994,Shorts,Womenswear,Tops,Cotton,Wakefield,53.68,-1.49
20210619,98,280,3,41.41250434,124.237513,Pants,Womenswear,Trousers,Cotton,York,53.958332,-1.080278
20210620,34,273,1,38.51621801,38.51621801,Pants,Womenswear,Trousers,Cotton,Wakefield,53.68,-1.49
20210621,90,336,1,21.96581177,21.96581177,GolfShoes,Sports,Shoes,Leather,Truro,50.259998,-5.051
20210622,12,293,2,38.71883954,77.43767908,Dress,Womenswear,Tops,Polyester,Truro,50.259998,-5.051
20210623,9,285,3,36.19045837,108.5713751,Coats,Womenswear,Tops,Cotton,Truro,50.259998,-5.051
20210624,66,276,1,54.99430496,54.99430496,Underwear,Womenswear,Tops,Cotton,Winchester,51.063202,-1.308
20210625,89,277,2,50.79595734,101.5919147,Pyjamas,Womenswear,Tops,Cotton,Truro,50.259998,-5.051
20210626,32,278,2,47.43331644,94.86663288,Pyjamas,Menswear,Tops,Cotton,Truro,50.259998,-5.051
20210627,15,288,1,50.00261903,50.00261903,Pants,Menswear,Trousers,Leather,Worcester,52.192001,-2.22
20210628,56,262,1,33.47093586,33.47093586,Formal Shirts,Menswear,Tops,Wool,York,53.958332,-1.080278
20210629,13,286,1,32.74550663,32.74550663,Knitwear,Womenswear,Tops,Cashmere,Wells,51.209,-2.647
20210630,91,291,1,31.87910676,31.87910676,Knitwear,Menswear,Tops,Cashmere,Wells,51.209,-2.647
